新闻,#genre#
TVB無線新聞News,http://iptvpro.pw:35451//加QQ1078393318/978690431/3.ts
TVB無線新聞台4K,http://iptvpro.pw:35451//加QQ1078393318/978690431/8.ts
TVB無線新聞直播台4K,http://iptvpro.pw:35451//加QQ1078393318/978690431/9.ts
TVB無線新聞台CH083,http://iptvpro.pw:35451//加QQ1078393318/978690431/13.ts
鳳凰資訊,http://iptvpro.pw:35451//加QQ1078393318/978690431/17.ts
HOY資訊台,http://iptvpro.pw:35451//加QQ1078393318/978690431/22.ts
HOY香港國際財經IBC,http://iptvpro.pw:35451//加QQ1078393318/978690431/23.ts
Now新聞台CH332,http://iptvpro.pw:35451//加QQ1078393318/978690431/29.ts
Now財經台CH333,http://iptvpro.pw:35451//加QQ1078393318/978690431/30.ts
鳳凰資訊台CH611,http://iptvpro.pw:35451//加QQ1078393318/978690431/88.ts
中天新闻,http://iptvpro.pw:35451//加QQ1078393318/978690431/161.ts
东森新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/162.ts
TVBS新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/163.ts
三立新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/166.ts
台视新闻,http://iptvpro.pw:35451//加QQ1078393318/978690431/174.ts
民视新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/164.ts
中视新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/168.ts
华视新闻信息台,http://iptvpro.pw:35451//加QQ1078393318/978690431/169.ts
寰宇新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/170.ts
寰宇新闻台湾台,http://iptvpro.pw:35451//加QQ1078393318/978690431/171.ts
年代新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/165.ts
壹电视新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/172.ts
镜电视新闻,http://iptvpro.pw:35451//加QQ1078393318/978690431/173.ts
非凡新闻台,http://iptvpro.pw:35451//加QQ1078393318/978690431/167.ts
