广东梅州,#genre#
CCTV1,http://120.238.87.243:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://120.238.87.243:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://120.238.87.243:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://120.238.87.243:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://120.238.87.243:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://120.238.87.243:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://120.238.87.243:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://120.238.87.243:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://120.238.87.243:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://120.238.87.243:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://120.238.87.243:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://120.238.87.243:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://120.238.87.243:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://120.238.87.243:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://120.238.87.243:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://120.238.87.243:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://120.238.87.243:9901/tsfile/live/1094_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://120.238.87.243:9901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV新闻,http://120.238.87.243:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
三少卫视,http://120.238.87.243:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://120.238.87.243:9901/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://120.238.87.243:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://120.238.87.243:9901/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://120.238.87.243:9901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://120.238.87.243:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://120.238.87.243:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://120.238.87.243:9901/tsfile/live/1093_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://120.238.87.243:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://120.238.87.243:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://120.238.87.243:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://120.238.87.243:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://120.238.87.243:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://120.238.87.243:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://120.238.87.243:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
广东南方卫视,http://120.238.87.243:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://120.238.87.243:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://120.238.87.243:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://120.238.87.243:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://120.238.87.243:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://120.238.87.243:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://120.238.87.243:9901/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://120.238.87.243:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://120.238.87.243:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://120.238.87.243:9901/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://120.238.87.243:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://120.238.87.243:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://120.238.87.243:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://120.238.87.243:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://120.238.87.243:9901/tsfile/live/1091_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://120.238.87.243:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://120.238.87.243:9901/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://120.238.87.243:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://120.238.87.243:9901/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://120.238.87.243:9901/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://120.238.87.243:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://120.238.87.243:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1,http://120.238.87.243:9901/tsfile/live/1125_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://120.238.87.243:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭电影,http://120.238.87.243:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://120.238.87.243:9901/tsfile/live/1126_1.m3u8?key=txiptv&playlive=1&authid=0
DBTV1,http://120.238.87.243:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
G导视,http://120.238.87.243:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育,http://120.238.87.243:9901/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
